inventory_date,facility_code,product_code,on_hand,available_quantity,safety_stock,days_of_supply
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Black_Chair,46,38,23,9.7
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Black_Table,17,14,11,7.4
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Brown_Chair,45,39,18,12.3
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Brown_Table,25,20,9,13.6
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Natural_Chair,44,39,20,10.7
2025-10-05 01:34:35.755428,US_FAC_1,Classic_Natural_Table,19,17,9,10.4
2025-10-05 01:34:35.755428,US_FAC_1,Classic_White_Chair,35,29,24,7.2
2025-10-05 01:34:35.755428,US_FAC_1,Classic_White_Table,12,9,10,5.9
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Black_Chair,43,38,22,9.7
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Black_Table,23,20,8,13.8
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Brown_Chair,57,48,23,12.4
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Brown_Table,20,14,9,10.2
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Natural_Chair,30,24,20,7.2
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_Natural_Table,23,16,12,9.1
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_White_Chair,29,22,23,6.2
2025-10-05 01:34:35.755428,US_FAC_1,Contemporary_White_Table,29,23,10,13.4
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Black_Chair,41,31,21,9.8
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Black_Table,22,17,10,10.8
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Brown_Chair,28,23,20,6.8
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Brown_Table,9,6,9,4.7
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Natural_Chair,30,21,21,7.1
2025-10-05 01:34:35.755428,US_FAC_1,Modern_Natural_Table,13,10,11,5.8
2025-10-05 01:34:35.755428,US_FAC_1,Modern_White_Chair,44,38,17,12.7
2025-10-05 01:34:35.755428,US_FAC_1,Modern_White_Table,20,15,10,9.4
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Black_Chair,54,44,19,13.8
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Black_Table,10,8,9,5.5
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Brown_Chair,23,18,19,5.8
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Brown_Table,18,17,9,9.2
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Natural_Chair,43,39,22,9.5
2025-10-05 01:34:35.755428,US_FAC_2,Classic_Natural_Table,20,14,7,14.3
2025-10-05 01:34:35.755428,US_FAC_2,Classic_White_Chair,30,24,20,7.3
2025-10-05 01:34:35.755428,US_FAC_2,Classic_White_Table,16,13,9,8.6
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Black_Chair,56,51,20,13.8
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Black_Table,24,19,11,10.9
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Brown_Chair,58,57,22,13.2
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Brown_Table,18,12,7,11.7
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Natural_Chair,52,37,23,11.2
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_Natural_Table,15,10,10,7.5
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_White_Chair,44,39,20,11.0
2025-10-05 01:34:35.755428,US_FAC_2,Contemporary_White_Table,14,11,12,5.6
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Black_Chair,43,34,23,9.0
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Black_Table,9,7,8,5.2
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Brown_Chair,52,37,21,12.2
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Brown_Table,11,8,10,5.2
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Natural_Chair,60,54,21,14.1
