product_id,product_code,series_name,color,product_type,unit_cost,unit_weight_kg,production_time_hours,holding_cost_rate,abc_classification
1,Modern_White_Chair,Modern,White,Chair,47.49080237694725,29.01428612819832,4.92797576724562,0.2,B
2,Modern_White_Table,Modern,White,Table,68.99259649415798,13.119890406724053,2.232334448672798,0.2,C
3,Modern_Black_Chair,Modern,Black,Chair,52.02230023486417,24.16145155592091,2.08233797718321,0.2,C
4,Modern_Black_Table,Modern,Black,Table,90.63816450561349,14.246782213565524,2.7272998688284025,0.2,A
5,Modern_Natural_Chair,Modern,Natural,Chair,46.08484485919075,20.495128632644757,3.727780074568463,0.2,A
6,Modern_Natural_Table,Modern,Natural,Table,83.57929263111615,12.789877213040837,3.1685785941408726,0.2,B
7,Modern_Brown_Chair,Modern,Brown,Chair,49.121399684340716,25.703519227860273,2.798695128633439,0.2,B
8,Modern_Brown_Table,Modern,Brown,Table,82.95726620358536,10.929008254399955,4.4301794076057535,0.2,A
9,Classic_White_Chair,Classic,White,Chair,41.301031859705596,28.977710745066666,5.862528132298237,0.2,C
10,Classic_White_Table,Classic,White,Table,73.74764061354786,11.953442280127678,4.736932106048627,0.2,B
11,Classic_Black_Chair,Classic,Black,Chair,42.44076469689558,19.903538202225405,2.1375540844608736,0.2,C
12,Classic_Black_Table,Classic,Black,Table,72.28095941120054,23.25044568707964,3.246844304357644,0.2,B
13,Classic_Natural_Chair,Classic,Natural,Chair,50.93420558686559,13.697089110510541,5.878338511058234,0.2,C
14,Classic_Natural_Table,Classic,Natural,Table,94.06396613005406,27.896547008552975,4.39159991524434,0.2,C
15,Classic_Brown_Chair,Classic,Brown,Chair,41.769850041038396,13.919657248382904,2.1809091556421523,0.2,B
16,Classic_Brown_Table,Classic,Brown,Table,76.43767327006343,15.426980635477918,5.314950036607717,0.2,B
17,Contemporary_White_Chair,Contemporary,White,Chair,45.61869019374762,20.853921663164968,2.5636968998990506,0.2,C
18,Contemporary_White_Table,Contemporary,White,Table,66.38562059775266,29.737738732010346,5.08897907718663,0.2,A
19,Contemporary_Black_Chair,Contemporary,Black,Chair,40.110442342472055,26.309228569096682,4.8274293753904685,0.2,C
20,Contemporary_Black_Table,Contemporary,Black,Table,88.68065109395026,11.480893034681808,3.4338629141770904,0.2,A
21,Contemporary_Natural_Chair,Contemporary,Natural,Chair,57.262068517511864,22.46596253655116,3.3235920994105967,0.2,A
22,Contemporary_Natural_Table,Contemporary,Natural,Table,73.95143429490119,16.503666440534943,4.918424713352256,0.2,B
23,Contemporary_Brown_Chair,Contemporary,Brown,Chair,57.744254851526534,19.444298503238986,2.478376983753207,0.2,C
24,Contemporary_Brown_Table,Contemporary,Brown,Table,88.34512155574072,21.225543951389923,5.083868719818244,0.2,B
