transfer_id,transfer_date,from_facility,to_facility,product_code,firm_transfer_out,planned_transfer_out,planned_transfer_in,in_transit_transfer_in,on_order_transfer_in,quantity,transport_cost
TXN_001,2025-09-15 01:34:35.755428,US_FAC_3,US_FAC_1,Contemporary_Brown_Table,0,0,35,0,0,35,141.55
TXN_002,2025-09-15 01:34:35.755428,US_FAC_3,US_FAC_2,Modern_Brown_Table,0,0,0,0,26,26,204.2
TXN_003,2025-09-26 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_Brown_Table,0,22,0,0,0,22,119.78
TXN_004,2025-09-23 01:34:35.755428,US_FAC_1,US_FAC_2,Contemporary_Brown_Chair,0,0,0,20,0,20,65.77
TXN_005,2025-09-28 01:34:35.755428,US_FAC_1,US_FAC_3,Modern_White_Table,0,0,26,0,0,26,194.28
TXN_006,2025-10-01 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_White_Table,0,40,0,0,0,40,215.37
TXN_007,2025-10-03 01:34:35.755428,US_FAC_2,US_FAC_1,Classic_Natural_Chair,0,0,0,0,10,10,30.28
TXN_008,2025-09-12 01:34:35.755428,US_FAC_1,US_FAC_3,Contemporary_White_Table,0,0,28,0,0,28,205.65
TXN_009,2025-09-06 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_Natural_Table,10,0,0,0,0,10,62.02
TXN_010,2025-09-25 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_Black_Table,0,17,0,0,0,17,85.12
TXN_011,2025-09-18 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_Black_Chair,0,0,0,38,0,38,133.36
TXN_012,2025-09-05 01:34:35.755428,US_FAC_3,US_FAC_1,Classic_Natural_Table,0,0,0,0,19,19,124.74
TXN_013,2025-09-17 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_Natural_Chair,16,0,0,0,0,16,62.88
TXN_014,2025-09-09 01:34:35.755428,US_FAC_1,US_FAC_3,Contemporary_White_Table,0,0,0,30,0,30,196.98
TXN_015,2025-09-26 01:34:35.755428,US_FAC_1,US_FAC_3,Contemporary_White_Table,47,0,0,0,0,47,353.93
TXN_016,2025-09-24 01:34:35.755428,US_FAC_1,US_FAC_2,Contemporary_White_Table,0,0,0,16,0,16,99.35
TXN_017,2025-09-16 01:34:35.755428,US_FAC_3,US_FAC_1,Contemporary_Brown_Chair,0,0,0,0,37,37,249.28
TXN_018,2025-09-27 01:34:35.755428,US_FAC_2,US_FAC_3,Contemporary_Brown_Table,0,0,0,17,0,17,83.99
TXN_019,2025-10-02 01:34:35.755428,US_FAC_3,US_FAC_1,Modern_Brown_Chair,0,0,0,0,24,24,185.89
TXN_020,2025-09-18 01:34:35.755428,US_FAC_1,US_FAC_3,Classic_White_Chair,15,0,0,0,0,15,59.77
TXN_021,2025-09-07 01:34:35.755428,US_FAC_3,US_FAC_2,Classic_White_Table,45,0,0,0,0,45,238.1
TXN_022,2025-09-21 01:34:35.755428,US_FAC_3,US_FAC_2,Contemporary_Black_Table,0,0,0,12,0,12,75.75
TXN_023,2025-09-14 01:34:35.755428,US_FAC_1,US_FAC_3,Modern_Brown_Table,0,0,0,27,0,27,195.38
TXN_024,2025-09-05 01:34:35.755428,US_FAC_2,US_FAC_3,Classic_Brown_Table,0,0,0,0,28,28,133.43
TXN_025,2025-09-19 01:34:35.755428,US_FAC_3,US_FAC_1,Modern_White_Table,0,45,0,0,0,45,309.13
TXN_026,2025-09-28 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_Black_Table,0,0,0,31,0,31,242.86
TXN_027,2025-09-10 01:34:35.755428,US_FAC_3,US_FAC_1,Contemporary_Brown_Chair,0,40,0,0,0,40,261.86
TXN_028,2025-10-01 01:34:35.755428,US_FAC_2,US_FAC_1,Classic_Natural_Chair,0,0,24,0,0,24,168.42
TXN_029,2025-09-19 01:34:35.755428,US_FAC_3,US_FAC_2,Classic_White_Table,0,0,28,0,0,28,201.46
TXN_030,2025-09-12 01:34:35.755428,US_FAC_2,US_FAC_3,Contemporary_Natural_Table,19,0,0,0,0,19,71.94
TXN_031,2025-09-08 01:34:35.755428,US_FAC_3,US_FAC_2,Classic_Black_Table,21,0,0,0,0,21,161.17
TXN_032,2025-09-09 01:34:35.755428,US_FAC_1,US_FAC_3,Contemporary_White_Chair,0,0,0,0,29,29,134.16
TXN_033,2025-09-14 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_Natural_Table,0,0,0,11,0,11,63.23
